Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y,PARK,Sunday
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,BAYVIEW,"ARREST, BOOKED",PHELPS ST / BANCROFT AV,-122.4002762,37.72983853,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,NORTHERN,NONE,EDDY ST / POLK ST,-122.4191831,37.78309982,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,RICHMOND,NONE,500 Block of POINTLOBOS AV,-122.5089043,37.77983151,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,NORTHERN,NONE,GOLDEN GATE AV / WEBSTER ST,-122.4302346,37.77978243,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,CENTRAL,NONE,700 Block of VALLEJO ST,-122.4097917,37.79850835,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,INGLESIDE,"ARREST, BOOKED",0 Block of LELAND AV,-122.4052482,37.71172271,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,SOUTHERN,NONE,400 Block of 6TH ST,-122.4036714,37.77703244,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,SOUTHERN,NONE,5TH ST / MARKET ST,-122.4080683,37.78399168,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,MISSION,"ARREST, BOOKED",1000 Block of VALENCIA ST,-122.4210716,37.75569414,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,MISSION,NONE,2000 Block of MISSION ST,-122.4196583,37.76422056,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,MISSION,"ARREST, BOOKED",200 Block of VALENCIA ST,-122.4221586,37.76844039,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,NORTHERN,NONE,HERMANN ST / FILLMORE ST,-122.4300766,37.7702422,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,"ARREST, BOOKED",400 Block of VALENCIA ST,-122.4219351,37.76613439,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,CENTRAL,NONE,100 Block of PINE ST,-122.3991759,37.79227742,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,NONE,3300 Block of CESAR CHAVEZ ST,-122.417067,37.74828543,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,SOUTHERN,NONE,300 Block of 1ST ST,-122.3936189,37.78668893,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,NORTHERN,NONE,1600 Block of POLK ST,-122.4210331,37.79193935,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,NONE,SHOTWELL ST / 18TH ST,-122.4160784,37.76203479,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,INGLESIDE,NONE,100 Block of POPE ST,-122.44094,37.71325927,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,TENDERLOIN,"ARREST, BOOKED",400 Block of EDDY ST,-122.4150887,37.78367196,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,PARK,NONE,BRODERICK ST / MCALLISTER ST,-122.4400304,37.77758616,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,TARAVAL,NONE,1600 Block of OCEAN AV,-122.4595646,37.72469269,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,NORTHERN,NONE,OFARRELL ST / LARKIN ST,-122.417904,37.78516709,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,BAYVIEW,"ARREST, BOOKED",800 Block of FELTON ST,-122.4130136,37.7278931,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,BAYVIEW,NONE,1000 Block of OAKDALE AV,-122.3803483,37.72882763,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,SOUTHERN,"ARREST, BOOKED",1700 Block of MARKET ST,-122.4229248,37.77211585,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,RICHMOND,NONE,200 Block of 2ND AV,-122.4602712,37.78405037,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,BAYVIEW,"ARREST, BOOKED",1500 Block of CUSTER AV,-122.3901833,37.74579569,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,INGLESIDE,NONE,MISSION ST / 30TH ST,-122.4219709,37.74237522,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,MISSION,"ARREST, BOOKED",100 Block of CAPP ST,-122.4186879,37.76427539,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,TENDERLOIN,NONE,200 Block of ELLIS ST,-122.4103235,37.78512252,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,TENDERLOIN,NONE,100 Block of ELLIS ST,-122.4090932,37.78538982,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,MISSION,NONE,600 Block of VALENCIA ST,-122.4216875,37.76211606,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,CENTRAL,"ARREST, BOOKED",0 Block of DRUMM ST,-122.3965564,37.79411691,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,INGLESIDE,NONE,0 Block of LAIDLEY ST,-122.4316454,37.74099706,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,TARAVAL,"ARREST, BOOKED",RANDOLPH ST / HEAD ST,-122.4643991,37.71429379,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,MISSION,"ARREST, BOOKED",16TH ST / MISSION ST,-122.4196718,37.76505012,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,"ARREST, BOOKED",300 Block of LIBERTY ST,-122.4291264,37.75712332,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,NORTHERN,NONE,1700 Block of POST ST,-122.4306001,37.78552072,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,"ARREST, BOOKED",1800 Block of FOLSOM ST,-122.4156055,37.76771775,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,TARAVAL,"ARREST, BOOKED",2400 Block of OCEAN AV,-122.4710044,37.73059102,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,TENDERLOIN,NONE,0 Block of GOLDEN GATE AV,-122.4112686,37.78225009,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,NORTHERN,NONE,400 Block of GROVE ST,-122.4240142,37.77776072,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,TENDERLOIN,NONE,0 Block of OFARRELL ST,-122.4058954,37.78673422,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,NORTHERN,"ARREST, BOOKED",OLIVE ST / LARKIN ST,-122.4178091,37.7847099,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,BAYVIEW,"ARREST, BOOKED",0 Block of OSCEOLA LN,-122.3831875,37.7316758,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,MISSION,"ARREST, BOOKED",200 Block of CUMBERLAND ST,-122.4291632,37.75888272,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,SOUTHERN,"ARREST, BOOKED",0 Block of NEWMONTGOMERY ST,-122.4005933,37.78760247,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,RICHMOND,NONE,300 Block of WILLARDNORTH ST,-122.4564447,37.77500132,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,INGLESIDE,"ARREST, BOOKED",600 Block of ANDOVER ST,-122.4168075,37.73584339,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,SOUTHERN,NONE,2ND ST / MISSION ST,-122.3998021,37.78800653,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,MISSION,NONE,3000 Block of MISSION ST,-122.4181632,37.74858895,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,BAYVIEW,"ARREST, BOOKED",1000 Block of PALOU AV,-122.3808183,37.72818703,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,MISSION,"ARREST, BOOKED",16TH ST / GUERRERO ST,-122.4241043,37.76478282,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,TARAVAL,NONE,2000 Block of 32ND AV,-122.4901416,37.74894208,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,CENTRAL,NONE,200 Block of COLUMBUS AV,-122.4065036,37.7976779,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,NORTHERN,NONE,MCALLISTER ST / VANNESS AV,-122.4202505,37.78007457,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,CENTRAL,NONE,POWELL ST / CALIFORNIA ST,-122.4091752,37.79204141,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,NONE,3300 Block of 17TH ST,-122.4199779,37.76345719,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,INGLESIDE,"ARREST, BOOKED",MISSION ST / 29TH ST,-122.4208966,37.74403815,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,NONE,2400 Block of MARKET ST,-122.4357738,37.76245918,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,TARAVAL,NONE,1300 Block of 47TH AV,-122.5069944,37.76129255,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,NONE,16TH ST / VALENCIA ST,-122.4218864,37.76491789,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,MISSION,NONE,100 Block of CAPP ST,-122.4185499,37.76428371,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,BAYVIEW,NONE,1000 Block of PALOU AV,-122.3808183,37.72818703,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,SOUTHERN,NONE,800 Block of MARKET ST,-122.4076335,37.78418935,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,INGLESIDE,NONE,MISSION ST / SILVER AV,-122.431295,37.72872979,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,SOUTHERN,NONE,0 Block of MCCOPPIN ST,-122.4214541,37.77171452,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,INGLESIDE,"ARREST, BOOKED",5400 Block of MISSION ST,-122.444314,37.71310834,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,PARK,"ARREST, BOOKED",1800 Block of EDDY ST,-122.4380984,37.78063886,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,CENTRAL,NONE,700 Block of JONES ST,-122.4133206,37.78784714,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,CENTRAL,NONE,600 Block of BROADWAY ST,-122.4078434,37.79777736,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,NORTHERN,"ARREST, BOOKED",2000 Block of PACIFIC AV,-122.4290083,37.79413454,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,SOUTHERN,NONE,5THSTNORTH ST / MARKET ST,-122.4080683,37.78399168,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,NORTHERN,"ARREST, BOOKED",800 Block of LARKIN ST,-122.4181105,37.78586277,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,"ARREST, BOOKED",400 Block of SHOTWELL ST,-122.4160709,37.76121422,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,NORTHERN,NONE,500 Block of BUCHANAN ST,-122.4276105,37.77510252,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,MISSION,"ARREST, BOOKED",2800 Block of 16TH ST,-122.415863,37.76522607,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.4097084,37.78282765,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,NORTHERN,NONE,1500 Block of EDDY ST,-122.4331778,37.78137581,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,CENTRAL,"ARREST, BOOKED",0 Block of DRUMM ST,-122.3964219,37.79414474,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,SOUTHERN,NONE,0 Block of 12TH ST,-122.4200014,37.77409486,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,MISSION,"ARREST, BOOKED",500 Block of 15TH ST,-122.4062068,37.76722534,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,TARAVAL,"ARREST, BOOKED",1400 Block of 32ND AV,-122.4907883,37.76013727,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,SOUTHERN,"ARREST, BOOKED",800 Block of BRANNAN ST,-122.404385,37.77219582,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,SOUTHERN,NONE,BRANNAN ST / RITCH ST,-122.3948439,37.77966433,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,SOUTHERN,NONE,1100 Block of FOLSOM ST,-122.4085643,37.77609673,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,TENDERLOIN,NONE,400 Block of ELLIS ST,-122.4136093,37.78469691,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,INGLESIDE,NONE,5100 Block of MISSION ST,-122.441352,37.71612709,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,CENTRAL,NONE,500 Block of BROADWAY ST,-122.4058632,37.79802285,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,CENTRAL,NONE,SUTTER ST / STOCKTON ST,-122.4069587,37.78943476,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,SOUTHERN,"ARREST, BOOKED",200 Block of MISSION ST,-122.395434,37.79152978,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,CENTRAL,NONE,0 Block of GEARY ST,-122.4042776,37.78791853,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,TENDERLOIN,NONE,LEAVENWORTH ST / OFARRELL ST,-122.4146197,37.78558306,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,INGLESIDE,NONE,1500 Block of GENEVA AV,-122.4308263,37.7124349,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,NONE,700 Block of SOUTH VAN NESS AV,-122.4171699,37.76114776,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,CENTRAL,"ARREST, BOOKED",1400 Block of CLAY ST,-122.4169409,37.79285238,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,NORTHERN,NONE,FRANKLIN ST / FULTON ST,-122.4217132,37.77895747,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,MISSION,NONE,MISSION ST / CLARION AL,-122.4194782,37.76305077,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,CENTRAL,NONE,800 Block of POST ST,-122.4158219,37.78729329,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,INGLESIDE,NONE,800 Block of PARIS ST,-122.4391648,37.7161702,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,PARK,JUVENILE BOOKED,1000 Block of 14TH ST,-122.4360766,37.76724463,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,MISSION,"ARREST, BOOKED",2100 Block of MISSION ST,-122.4194244,37.76323239,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,TARAVAL,"ARREST, BOOKED",1500 Block of 25TH AV,-122.4831565,37.75860135,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,BAYVIEW,NONE,500 Block of BLANKEN AV,-122.3968844,37.71114742,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,BAYVIEW,"ARREST, BOOKED",1300 Block of SHAFTER AV,-122.3860292,37.72844418,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,CENTRAL,"ARREST, BOOKED",300 Block of POWELL ST,-122.4083843,37.78782711,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,TENDERLOIN,NONE,ELLIS ST / JONES ST,-122.4127841,37.78486569,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,SOUTHERN,"ARREST, BOOKED",400 Block of CLEMENTINA ST,-122.405112,37.77984316,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,MISSION,NONE,500 Block of VALENCIA ST,-122.4217385,37.76409722,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,NORTHERN,NONE,900 Block of GEARY ST,-122.4189184,37.78594073,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,SOUTHERN,NONE,5THSTNORTH ST / MARKET ST,-122.4080683,37.78399168,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,CENTRAL,NONE,500 Block of SANSOME ST,-122.4016054,37.79507461,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,TENDERLOIN,NONE,200 Block of POWELL ST,-122.4082017,37.78688491,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,MISSION,NONE,2000 Block of MARKET ST,-122.4269556,37.76924706,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,NORTHERN,NONE,800 Block of ELLIS ST,-122.4201913,37.78387039,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,RICHMOND,NONE,600 Block of ARGUELLO BL,-122.4586157,37.77867383,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,TARAVAL,"ARREST, BOOKED",WAWONA ST / 23RD AV,-122.4795997,37.73726498,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,INGLESIDE,"ARREST, BOOKED",0 Block of NIAGARA AV,-122.4426271,37.71624624,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,PARK,"ARREST, BOOKED",BUENAVISTAWEST AV / HAIGHT ST,-122.4433119,37.77046975,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,INGLESIDE,NONE,300 Block of SENECA AV,-122.4451473,37.72141135,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,NORTHERN,"ARREST, BOOKED",1200 Block of VANNESS AV,-122.421442,37.78685165,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,CENTRAL,NONE,1100 Block of COLUMBUS AV,-122.4169767,37.80506978,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,TARAVAL,NONE,2000 Block of 28TH AV,-122.48586,37.74913125,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,CENTRAL,NONE,300 Block of CALIFORNIA ST,-122.4005647,37.79318751,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,BAYVIEW,"ARREST, BOOKED",3RD ST / REVERE AV,-122.3915229,37.73243239,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,TARAVAL,NONE,1200 Block of 14TH AV,-122.4718016,37.76472366,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,CENTRAL,NONE,CALIFORNIA ST / LARKIN ST,-122.4190391,37.79078802,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,NORTHERN,"ARREST, BOOKED",0 Block of ROSE ST,-122.4217015,37.77364122,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,MISSION,NONE,16TH ST / MISSION ST,-122.4196718,37.76505012,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,CENTRAL,NONE,400 Block of BEACH ST,-122.4164436,37.80711797,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,TARAVAL,"ARREST, BOOKED",3200 Block of 20TH AV,-122.4756475,37.72852806,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.4078454,37.78509432,,
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,NORTHERN,NONE,GOLDEN GATE AV / GOUGH ST,-122.4237322,37.78061115,,
